CUMV_N,A1_5,A1_3,A5_3,A5_11,A11_42,A11_3,A5_42,A11_15,A15_35,A35_42,A11_35,A15_42,A15_21,A21_32,A32_35,A15_32,A35_21,A21_22,A22_30,A30_32,A21_30,A32_22,A22_24,A24_28,A28_30,A22_28,A24_30,A1_29,A1_2,A2_5,A2_3,A11_50,A50_42,A1_4,A1_6,A4_3,A1_7,A4_6,A4_7,A7_6,A1_50,P_N
AK_14500_1,8.96,4.10,7.28,6.48,11.27,13.45,10.28,16.70,16.01,14.25,19.71,21.12,11.55,14.06,21.23,22.84,19.81,16.73,3.73,9.37,18.17,11.40,5.23,2.15,5.32,6.90,7.54,64.47,3.72,4.60,3.72,5.98,8.31,6.08,8.86,4.19,10.84,3.21,4.60,3.59,17.54,21.00
AK_14500_2,8.83,3.81,7.88,6.96,12.19,13.94,10.34,16.22,14.33,15.65,18.90,22.22,10.90,12.60,18.57,14.34,17.54,15.50,3.65,8.20,16.63,9.52,5.14,1.97,4.23,5.28,5.50,61.61,3.98,5.11,4.02,5.89,9.46,5.85,8.50,3.76,10.49,3.47,4.54,3.96,17.48,26.00
AK_14500_3,8.59,4.29,7.75,6.84,12.27,13.47,11.09,16.75,18.27,17.24,20.80,23.27,13.13,16.25,23.57,25.90,22.35,17.89,4.09,10.37,19.90,12.32,4.40,2.72,4.68,6.27,5.71,67.63,3.85,5.30,3.46,6.98,8.32,5.90,5.85,4.45,10.73,3.37,5.05,3.69,18.20,20.00
AK_14500_4,9.60,4.21,8.15,6.73,12.77,14.86,10.39,16.86,15.35,17.84,19.98,24.23,12.37,13.25,21.00,22.48,19.66,15.80,4.34,9.89,17.39,11.02,5.36,2.14,4.94,6.19,3.97,65.82,4.27,5.04,4.20,5.66,11.17,6.36,9.40,4.78,11.14,3.74,4.75,4.22,18.29,23.00
AK_14500_5,8.30,4.16,7.12,5.87,11.13,12.60,9.02,14.25,14.08,15.56,18.95,20.98,11.53,11.78,18.66,20.86,18.00,16.30,3.39,9.06,16.22,10.36,4.48,1.79,4.77,7.00,7.00,60.67,3.43,4.73,3.45,5.56,9.93,5.55,7.78,4.50,9.94,3.38,4.60,3.53,16.87,26.00
AK_14500_6,8.55,4.39,6.70,5.35,10.03,11.42,8.58,12.70,13.64,13.41,16.79,18.29,9.26,11.33,16.78,18.97,16.82,14.42,3.18,8.69,15.85,9.85,4.42,1.69,4.32,5.78,5.59,54.20,3.08,4.73,3.47,5.88,8.48,5.38,7.24,4.20,9.70,2.79,4.00,2.84,16.22,24.00
AK_14500_7,8.55,4.05,6.89,5.83,10.85,12.31,9.42,14.70,15.22,13.90,18.06,22.07,12.07,12.71,21.23,21.60,19.76,16.37,3.14,9.80,17.91,11.22,4.93,2.14,4.12,5.06,5.16,61.49,3.11,4.52,3.58,6.48,9.50,5.33,8.07,3.78,9.77,3.11,4.58,3.99,16.46,25.00
AK_14500_8,7.06,3.14,5.69,5.77,9.03,10.32,7.52,12.34,13.33,12.80,16.63,17.96,8.98,10.58,15.30,17.67,15.46,13.62,3.05,7.87,14.06,9.51,2.93,1.58,2.68,4.09,4.31,50.03,2.80,4.07,2.82,5.51,8.12,4.40,7.09,2.71,8.88,2.58,4.08,2.79,14.63,22.00
AK_14501_1,8.76,3.89,7.25,6.14,11.21,12.37,9.06,14.76,16.14,15.65,20.44,21.68,11.56,13.03,19.06,22.16,19.17,14.44,3.51,9.11,16.06,10.81,5.25,1.84,3.95,6.22,6.15,59.46,3.61,4.44,3.81,5.15,8.23,5.35,8.61,3.75,9.85,3.47,4.64,3.61,16.66,24.00
AK_14501_2,8.07,3.12,5.97,5.15,10.06,11.42,8.08,13.55,15.32,14.51,18.71,19.21,11.15,12.71,18.08,21.85,17.79,14.04,3.78,8.13,16.60,10.37,4.80,1.80,3.51,6.26,3.43,55.76,3.20,5.16,3.07,5.38,7.69,4.90,8.01,3.54,9.61,2.87,4.46,3.24,16.14,22.00
AK_14501_3,6.42,3.07,5.25,4.40,8.78,9.53,6.72,11.37,11.72,12.33,14.39,16.63,8.23,9.86,14.67,16.61,14.03,10.94,3.42,5.39,11.98,7.36,5.18,1.51,3.66,5.89,4.03,46.75,2.46,4.12,2.78,4.10,7.63,3.91,6.24,2.94,7.83,2.64,3.90,2.44,13.08,24.00
